Loan_ID,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
LP001002,0,Graduate,0,5849,,1,1
LP001003,1,Graduate,0,4583,128,1,0
LP001005,0,Graduate,,3000,66,1,1
LP001006,0,0t Graduate,0,2583,120,1,1
LP001008,0,Graduate,0,6000,141,1,1
LP001011,2,Graduate,,5417,267,1,1
LP001013,0,0t Graduate,0,2333,95,1,1
LP001014,3+,Graduate,0,3036,158,0,0
LP001018,2,Graduate,0,4006,168,1,1
LP001020,1,Graduate,0,12841,349,1,0
LP001024,2,Graduate,0,3200,70,1,1
LP001027,2,Graduate,,2500,109,1,1
LP001028,2,Graduate,0,3073,200,1,1
LP001029,0,Graduate,0,1853,114,1,0
LP001030,2,Graduate,0,1299,17,1,1
LP001032,0,Graduate,0,4950,125,1,1
LP001034,1,0t Graduate,0,3596,100,,1
LP001036,0,Graduate,0,3510,76,0,0
LP001038,0,0t Graduate,0,4887,133,1,0
LP001041,0,Graduate,,2600,115,1,1
LP001043,0,0t Graduate,0,7660,104,0,0
LP001046,1,Graduate,0,5955,315,1,1
LP001047,0,0t Graduate,0,2600,116,0,0
LP001050,2,0t Graduate,0,3365,112,0,0
LP001052,1,Graduate,,3717,151,,0
LP001066,0,Graduate,,9560,191,1,1
LP001068,0,Graduate,0,2799,122,1,1
LP001073,2,0t Graduate,0,4226,110,1,1
LP001086,0,0t Graduate,0,1442,35,1,0
LP001087,2,Graduate,,3750,120,1,1
LP001091,1,Graduate,,4166,201,,0
LP001095,0,Graduate,0,3167,74,1,0
LP001097,1,Graduate,,4692,106,1,0
LP001098,0,Graduate,0,3500,114,1,1
LP001100,3+,Graduate,0,12500,320,1,0
LP001106,0,Graduate,0,2275,,1,1
LP001109,0,Graduate,0,1828,100,0,0
LP001112,0,Graduate,0,3667,144,1,1
LP001114,0,Graduate,0,4166,184,1,1
LP001116,0,0t Graduate,0,3748,110,1,1
LP001119,0,Graduate,0,3600,80,1,0
LP001120,0,Graduate,0,1800,47,1,1
LP001123,0,Graduate,0,2400,75,,1
LP001131,0,Graduate,0,3941,134,1,1
LP001136,0,0t Graduate,,4695,96,1,1
LP001137,0,Graduate,0,3410,88,1,1
LP001138,1,Graduate,0,5649,44,1,1
LP001144,0,Graduate,0,5821,144,1,1
LP001146,0,Graduate,0,2645,120,0,0
LP001151,0,Graduate,0,4000,144,1,1
LP001155,0,0t Graduate,0,1928,100,1,1
LP001157,0,Graduate,0,3086,120,1,1
LP001164,0,Graduate,0,4230,112,1,0
LP001179,2,Graduate,0,4616,134,1,0
LP001186,1,Graduate,,11500,286,0,0
LP001194,2,Graduate,0,2708,97,1,1
LP001195,0,Graduate,0,2132,96,1,1
LP001197,0,Graduate,0,3366,135,1,0
LP001198,1,Graduate,0,8080,180,1,1
LP001199,2,0t Graduate,0,3357,144,1,1
LP001205,0,Graduate,0,2500,120,1,1
LP001206,3+,Graduate,0,3029,99,1,1
LP001207,0,0t Graduate,,2609,165,0,0
LP001213,1,Graduate,0,4945,,0,0
LP001222,0,Graduate,0,4166,116,0,0
LP001225,0,Graduate,0,5726,258,1,0
LP001228,0,0t Graduate,0,3200,126,0,0
LP001233,1,Graduate,0,10750,312,1,1
LP001238,3+,0t Graduate,,7100,125,1,1
LP001241,0,Graduate,0,4300,136,0,0
LP001243,0,Graduate,0,3208,172,1,1
LP001245,2,0t Graduate,,1875,97,1,1
LP001248,0,Graduate,0,3500,81,1,1
LP001250,3+,0t Graduate,0,4755,95,0,0
LP001253,3+,Graduate,,5266,187,1,1
LP001255,0,Graduate,0,3750,113,1,0
LP001256,0,Graduate,0,3750,176,1,0
LP001259,1,Graduate,,1000,110,1,0
LP001263,3+,Graduate,0,3167,180,0,0
LP001264,3+,0t Graduate,,3333,130,,1
LP001265,0,Graduate,0,3846,111,1,1
LP001266,1,Graduate,,2395,,1,1
LP001267,2,Graduate,0,1378,167,1,0
LP001273,0,Graduate,0,6000,265,,0
LP001275,1,Graduate,0,3988,50,1,1
LP001279,0,Graduate,0,2366,136,1,1
LP001280,2,0t Graduate,0,3333,99,,1
LP001282,0,Graduate,0,2500,104,1,1
LP001289,0,Graduate,0,8566,210,1,1
LP001310,0,Graduate,0,5695,175,1,1
LP001316,0,Graduate,0,2958,131,1,1
LP001318,2,Graduate,0,6250,188,1,1
LP001319,2,0t Graduate,0,3273,81,1,1
LP001322,0,Graduate,0,4133,122,1,1
LP001325,0,0t Graduate,0,3620,25,1,1
LP001326,0,Graduate,,6782,,,0
LP001327,0,Graduate,0,2484,137,1,1
LP001333,0,Graduate,0,1977,50,1,1
LP001334,0,0t Graduate,0,4188,115,1,1
LP001343,0,Graduate,0,1759,131,1,1
LP001345,2,0t Graduate,0,4288,133,1,1
LP001349,0,Graduate,0,4843,151,1,1
LP001350,,Graduate,0,13650,,1,1
LP001356,0,Graduate,0,4652,,1,1
LP001357,,Graduate,0,3816,160,1,1
LP001367,1,Graduate,0,3052,100,1,1
LP001369,2,Graduate,0,11417,225,1,1
LP001370,0,0t Graduate,,7333,120,1,0
LP001379,2,Graduate,0,3800,216,0,0
LP001384,3+,0t Graduate,0,2071,94,1,1
LP001385,0,Graduate,0,5316,136,1,1
LP001387,0,Graduate,,2929,139,1,1
